City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Aswan,EG,24.0934,32.907,51.1,53,0,5.75,clear sky
251,Esperance,AU,-33.8667,121.9,66.52,50,63,18.07,broken clouds
252,Kalamazoo,US,42.2506,-85.55,37.71,91,100,14.5,overcast clouds
253,Pimentel,PE,-6.8367,-79.9342,70.09,83,0,13.8,clear sky
254,Talnakh,RU,69.4865,88.3972,-29.0,85,63,8.28,broken clouds
255,Portland,US,45.5234,-122.6762,47.44,87,100,9.22,overcast clouds
256,Caravelas,BR,-17.7125,-39.2481,73.4,91,10,2.71,clear sky
257,Sanmenxia,CN,34.7747,111.1814,36.91,33,38,5.12,scattered clouds
258,Saint-Augustin,CA,51.226,-58.6502,35.02,100,100,10.33,light snow
259,Tevaitoa,PF,-16.7833,-151.5,80.87,74,13,10.98,light rain
260,Caluquembe,AO,-13.7833,14.6833,59.02,95,100,0.67,light rain
261,Guerrero Negro,MX,27.9769,-114.0611,57.88,59,24,15.19,few clouds
262,Munster,DE,51.9624,7.6257,30.22,95,73,5.01,broken clouds
263,Hamilton,US,39.1834,-84.5333,42.6,83,10,7.0,clear sky
264,Vinukonda,IN,16.05,79.75,79.27,51,3,7.31,clear sky
265,Catuday,PH,16.2923,119.8062,80.74,67,91,8.57,overcast clouds
266,Huntsville,US,34.7304,-86.5861,57.15,96,0,0.0,mist
267,Moyale,KE,3.5167,39.0584,73.17,28,18,7.87,few clouds
268,Ouallam,NE,14.3188,2.0866,63.37,18,2,10.58,clear sky
269,Rocha,UY,-34.4833,-54.3333,63.55,94,0,5.03,clear sky
270,Mahibadhoo,MV,3.7833,72.9667,81.05,77,28,11.07,scattered clouds
271,Isangel,VU,-19.55,169.2667,80.71,83,75,2.3,broken clouds
272,Kidal,ML,18.4411,1.4078,61.02,20,15,8.21,few clouds
273,Qaqortoq,GL,60.7167,-46.0333,18.7,72,100,5.66,overcast clouds
274,Touros,BR,-5.1989,-35.4608,77.94,82,83,10.63,broken clouds
275,Palana,RU,59.1167,159.9667,0.63,90,100,2.77,overcast clouds
276,Te Anau,NZ,-45.4167,167.7167,76.69,44,11,6.2,few clouds
277,Alta Floresta,BR,-9.8756,-56.0861,69.21,96,100,1.95,overcast clouds
278,Warrington,GB,53.3925,-2.5802,36.27,94,75,4.61,broken clouds
279,Palembang,ID,-2.9167,104.7458,82.49,74,40,11.5,scattered clouds
280,Hailar,CN,49.2,119.7,3.58,90,100,4.88,overcast clouds
281,Charters Towers,AU,-20.1,146.2667,81.72,60,97,15.39,overcast clouds
282,Chimay,BE,50.0486,4.3171,29.82,88,100,4.05,overcast clouds
283,Geilo,NO,60.5333,8.2076,23.7,95,100,4.34,overcast clouds
284,Jinchang,CN,38.4953,102.1739,22.59,36,1,1.05,clear sky
285,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.39,98,100,1.52,overcast clouds
286,Chumikan,RU,54.7183,135.315,-23.15,83,48,13.29,scattered clouds
287,Kahului,US,20.8947,-156.47,75.85,84,61,4.0,broken clouds
288,Bull Savanna,JM,17.8868,-77.5902,69.08,82,0,5.95,clear sky
289,Raudeberg,NO,61.9875,5.1352,36.27,72,100,4.99,overcast clouds
290,Brae,GB,60.3964,-1.353,38.82,81,92,27.65,light rain
291,Eureka,US,40.8021,-124.1637,46.92,90,96,1.99,overcast clouds
292,Mitu,CO,1.1983,-70.1733,70.43,99,100,1.28,moderate rain
293,Port Macquarie,AU,-31.4333,152.9167,80.89,55,2,16.91,clear sky
294,Suez,EG,29.9737,32.5263,52.68,60,0,5.59,clear sky
295,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,38,0,15.66,clear sky
296,Uruguaiana,BR,-29.7547,-57.0883,84.13,42,0,18.41,clear sky
297,Broome,US,42.2506,-75.833,41.54,90,100,1.99,overcast clouds
298,Tazovskiy,RU,67.4667,78.7,-10.08,98,100,16.04,light snow
299,Tura,IN,25.5198,90.2201,68.92,32,0,2.39,clear sky
300,Turukhansk,RU,65.8167,87.9833,-35.01,86,32,6.4,scattered clouds
301,Talcahuano,CL,-36.7167,-73.1167,55.08,94,100,3.44,overcast clouds
302,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,11.5,scattered clouds
303,General Roca,AR,-39.0333,-67.5833,70.16,64,100,13.42,light rain
304,Sovetskiy,RU,61.3614,63.5842,5.38,93,76,5.41,broken clouds
305,Estelle,US,29.8458,-90.1067,69.8,93,100,8.05,mist
306,Phan Thiet,VN,10.9333,108.1,85.73,48,90,8.55,overcast clouds
307,Belinskiy,RU,52.9647,43.4165,19.49,91,100,14.34,overcast clouds
308,Buin,CL,-33.7333,-70.75,70.74,57,0,1.19,clear sky
309,Garowe,SO,8.4054,48.4845,68.59,76,20,11.54,few clouds
310,Bueno Brandao,BR,-22.4408,-46.3508,61.45,92,83,3.89,broken clouds
311,Merauke,ID,-8.4667,140.3333,85.59,71,100,13.33,overcast clouds
312,Ereymentau,KZ,51.6199,73.1033,3.78,79,38,6.02,scattered clouds
313,Pizarro,CO,4.9533,-77.366,74.8,92,99,5.91,light rain
314,Bahia Honda,CU,22.9036,-83.1592,66.65,84,0,6.64,clear sky
315,Changzhou,CN,31.7833,119.9667,43.27,35,1,7.67,clear sky
316,Manzhouli,CN,49.6,117.4333,0.46,92,99,5.86,overcast clouds
317,Alugan,PH,12.2188,125.4808,80.69,82,100,5.12,moderate rain
318,Nantucket,US,41.2835,-70.0995,45.14,87,88,15.82,overcast clouds
319,Honolulu,US,21.3069,-157.8583,77.86,81,23,5.01,few clouds
320,Vardo,NO,70.3705,31.1107,24.78,86,18,27.63,few clouds
321,Hualmay,PE,-11.0964,-77.6139,69.08,82,97,5.61,overcast clouds
322,Gogrial,SS,8.5332,28.1004,68.43,25,34,5.46,scattered clouds
323,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,100,10.36,light snow
324,Abnub,EG,27.2696,31.1511,44.82,61,0,3.4,clear sky
325,Zaraza,VE,9.3503,-65.3245,73.24,85,45,6.76,scattered clouds
326,Luganville,VU,-15.5333,167.1667,80.8,82,95,5.48,overcast clouds
327,Dingle,PH,10.9995,122.6711,81.59,82,100,8.68,overcast clouds
328,Roald,NO,62.5833,6.1333,38.34,75,100,5.75,overcast clouds
329,Illapel,CL,-31.6308,-71.1653,67.17,67,0,2.04,clear sky
330,Santa Cruz,BO,-17.8,-63.1667,72.86,94,75,2.3,broken clouds
331,Kyren,RU,51.6828,102.1408,7.16,81,91,6.44,overcast clouds
332,Sergiyevsk,RU,53.9413,51.165,-4.99,97,21,4.32,few clouds
333,Nueve De Julio,AR,-35.4444,-60.8831,76.96,60,100,1.99,overcast clouds
334,Westport,US,41.1415,-73.3579,44.02,70,97,4.0,overcast clouds
335,Taoudenni,ML,22.6783,-3.9836,62.22,23,96,2.46,overcast clouds
336,Hami,CN,42.8,93.45,17.92,41,2,2.1,clear sky
337,Montorio Al Vomano,IT,42.5831,13.6383,48.74,76,64,9.51,broken clouds
338,Manaus,BR,-3.1019,-60.025,75.69,94,75,4.61,broken clouds
339,Nago,JP,26.5881,127.9761,64.45,69,97,13.94,overcast clouds
340,Tilichiki,RU,60.4667,166.1,-3.8,96,100,8.28,overcast clouds
341,Racine,US,42.7495,-88.0751,37.04,87,100,9.22,overcast clouds
342,Stege,DK,54.987,12.2846,35.1,81,10,18.9,clear sky
343,Nadym,RU,65.5333,72.5167,6.12,96,100,6.17,overcast clouds
344,Komsomolskiy,UZ,40.4272,71.7189,23.72,63,5,0.0,mist
345,Birao,CF,10.2849,22.7882,65.12,24,97,8.57,overcast clouds
